,Open,High,Low,Close,Adj Close,Volume
2022-07-09 04:00:00,21596.796875,21609.87890625,21534.90625,21549.69140625,21549.69140625,453836800.0
2022-07-09 05:00:00,21550.466796875,21577.2578125,21508.95703125,21508.95703125,21508.95703125,181145600.0
2022-07-09 06:00:00,21516.31640625,21556.9609375,21503.23046875,21555.373046875,21555.373046875,344424448.0
2022-07-09 07:00:00,21553.640625,21668.326171875,21553.640625,21647.9140625,21647.9140625,696963072.0
2022-07-09 08:00:00,21648.404296875,21696.208984375,21629.982421875,21696.208984375,21696.208984375,202354688.0
2022-07-09 09:00:00,21699.6328125,21702.62890625,21620.935546875,21636.45703125,21636.45703125,0.0
2022-07-09 10:00:00,21638.755859375,21717.44140625,21631.259765625,21717.44140625,21717.44140625,367820800.0
2022-07-09 11:00:00,21719.79296875,21730.322265625,21504.703125,21504.703125,21504.703125,517951488.0
2022-07-09 12:00:00,21487.5234375,21530.50390625,21445.95703125,21513.978515625,21513.978515625,219725824.0
2022-07-09 13:00:00,21515.798828125,21592.65625,21510.75,21558.611328125,21558.611328125,414224384.0
2022-07-09 14:00:00,21556.04296875,21678.986328125,21545.798828125,21627.564453125,21627.564453125,0.0
2022-07-09 15:00:00,21614.703125,21631.611328125,21572.443359375,21575.046875,21575.046875,0.0
2022-07-09 16:00:00,21575.458984375,21650.330078125,21557.376953125,21650.330078125,21650.330078125,0.0
2022-07-09 17:00:00,21671.884765625,21877.138671875,21667.6015625,21850.875,21850.875,0.0
2022-07-09 18:00:00,21863.810546875,21874.12890625,21762.931640625,21762.931640625,21762.931640625,0.0
2022-07-09 19:00:00,21762.47265625,21762.47265625,21590.40625,21614.78515625,21614.78515625,0.0
2022-07-09 20:00:00,21615.23046875,21667.46484375,21607.87890625,21667.46484375,21667.46484375,0.0
2022-07-09 21:00:00,21671.03125,21715.513671875,21667.953125,21713.767578125,21713.767578125,0.0
2022-07-09 22:00:00,21703.390625,21721.4609375,21628.263671875,21628.263671875,21628.263671875,0.0
2022-07-09 23:00:00,21629.57421875,21632.306640625,21577.380859375,21594.09375,21594.09375,63887360.0
2022-07-10 00:00:00,21591.080078125,21591.080078125,21419.998046875,21419.998046875,21419.998046875,0.0
2022-07-10 01:00:00,21420.0234375,21476.6875,21402.59375,21450.759765625,21450.759765625,113088512.0
2022-07-10 02:00:00,21448.0078125,21465.873046875,21245.83203125,21294.30859375,21294.30859375,764424192.0
2022-07-10 03:00:00,21293.29296875,21314.8359375,21261.3046875,21298.359375,21298.359375,317171712.0
2022-07-10 04:00:00,21294.939453125,21294.939453125,21206.173828125,21271.455078125,21271.455078125,264634368.0
2022-07-10 05:00:00,21272.529296875,21346.880859375,21270.54296875,21342.8515625,21342.8515625,395302912.0
2022-07-10 06:00:00,21346.19140625,21348.4296875,21277.359375,21285.0703125,21285.0703125,115288064.0
2022-07-10 07:00:00,21293.052734375,21338.908203125,21262.89453125,21335.654296875,21335.654296875,25094144.0
2022-07-10 08:00:00,21335.798828125,21360.73828125,21286.5234375,21298.97265625,21298.97265625,286623744.0
2022-07-10 09:00:00,21312.875,21340.1484375,21303.65234375,21327.662109375,21327.662109375,169527296.0
2022-07-10 10:00:00,21324.94921875,21332.73828125,21258.341796875,21260.017578125,21260.017578125,197468160.0
2022-07-10 11:00:00,21270.998046875,21284.251953125,21209.455078125,21282.388671875,21282.388671875,173002752.0
2022-07-10 12:00:00,21283.134765625,21319.986328125,21282.2890625,21288.49609375,21288.49609375,0.0
2022-07-10 13:00:00,21290.572265625,21294.75,21059.537109375,21061.953125,21061.953125,294651904.0
2022-07-10 14:00:00,21068.873046875,21068.873046875,20877.162109375,20877.162109375,20877.162109375,507928576.0
2022-07-10 15:00:00,20877.009765625,20956.70703125,20865.69921875,20905.732421875,20905.732421875,472721408.0
2022-07-10 16:00:00,20899.615234375,20941.404296875,20727.123046875,20936.26953125,20936.26953125,0.0
2022-07-10 17:00:00,20934.6171875,20935.78515625,20895.0390625,20901.5546875,20901.5546875,0.0
